date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:34:58	1099636/1099636	---MCZ	200	added ('OK')	text/html	etag:W/%22e85e0effbe73cef767d3de92b186cd58%22	https://fiveelementslife.wixsite.com/start	D:/app/wix%20transfer%20out/fiveelementslife.wixsite.com/start.html	(from )
20:34:58	264/264	---MCZ	200	added ('OK')	text/plain	etag:W/%221bb-vSHNsUa7VWyA63DVja2Ytd/v8ts%22	https://fiveelementslife.wixsite.com/robots.txt		(from )
20:34:59	432253/432253	---M--	200	added ('OK')	application/javascript	etag:%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	D:/app/wix%20transfer%20out/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://fiveelementslife.wixsite.com/start)
20:34:59	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	D:/app/wix%20transfer%20out/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://fiveelementslife.wixsite.com/start)
20:34:59	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	D:/app/wix%20transfer%20out/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://fiveelementslife.wixsite.com/start)
20:34:59	2505/2505	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Aug%202026%2000:35:00%20GMT	https://fiveelementslife.wixsite.com/O,location.href	D:/app/wix%20transfer%20out/fiveelementslife.wixsite.com/O,location.href	(from https://fiveelementslife.wixsite.com/start)
20:35:00	2505/2505	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Aug%202026%2000:35:00%20GMT	https://fiveelementslife.wixsite.com/e	D:/app/wix%20transfer%20out/fiveelementslife.wixsite.com/e	(from https://fiveelementslife.wixsite.com/start)
20:35:00	2506/2506	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Aug%202026%2000:35:00%20GMT	https://fiveelementslife.wixsite.com/t	D:/app/wix%20transfer%20out/fiveelementslife.wixsite.com/t	(from https://fiveelementslife.wixsite.com/start)
20:35:00	2505/2505	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Aug%202026%2000:35:00%20GMT	https://fiveelementslife.wixsite.com/	D:/app/wix%20transfer%20out/fiveelementslife.wixsite.com/index.html	(from https://fiveelementslife.wixsite.com/start)
20:35:00	1645/1645	---MCZ	200	added ('OK')	text/xml	date:Tue,%2018%20Aug%202026%2000:35:01%20GMT	https://fiveelementslife.wixsite.com/start/blog-feed.xml	D:/app/wix%20transfer%20out/fiveelementslife.wixsite.com/start/blog-feed.xml	(from https://fiveelementslife.wixsite.com/start)
20:35:01	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Aug%202026%2000:35:01%20GMT	https://fiveelementslife.wixsite.com/href,%20location.href	D:/app/wix%20transfer%20out/fiveelementslife.wixsite.com/href,%20location.href	(from https://fiveelementslife.wixsite.com/start)
